Size	Merge Sort	QUICK sORT 
24600	0.003340	0.002959
24700	0.003170	0.003024
24800	0.003408	0.003131
24900	0.003212	0.003046
25000	0.003189	0.003406
25100	0.003858	0.003597
25200	0.003410	0.003338
25300	0.003425	0.003482
25400	0.003487	0.003518
25500	0.003697	0.003511
25600	0.003468	0.003227
25700	0.003657	0.003246
25800	0.003572	0.003536
25900	0.003719	0.003187
26000	0.003577	0.003345
26100	0.003782	0.003439
26200	0.003550	0.003387
26300	0.003507	0.003448
26400	0.003448	0.003449
26500	0.003706	0.003486
26600	0.003739	0.003289
26700	0.003701	0.003370
26800	0.003618	0.003419
26900	0.003445	0.003493
27000	0.003685	0.003238
27100	0.003474	0.003401
27200	0.003848	0.003316
27300	0.003626	0.003322
27400	0.003792	0.003498
27500	0.003591	0.003407
27600	0.003554	0.003838
27700	0.003597	0.003482
27800	0.003660	0.003897
27900	0.003582	0.003499
28000	0.003606	0.003751
28100	0.004118	0.003392
28200	0.003712	0.003706
28300	0.004156	0.003722
28400	0.003681	0.003632
28500	0.004101	0.003567
28600	0.003724	0.003694
28700	0.004253	0.003691
28800	0.003776	0.003824
28900	0.003824	0.003923
29000	0.003973	0.004868
29100	0.005500	0.004606
29200	0.004418	0.003576
29300	0.004089	0.003819
29400	0.004132	0.003639
29500	0.004143	0.003869
29600	0.003889	0.003657
29700	0.004216	0.003808
29800	0.003975	0.003595
29900	0.004235	0.004586
30000	0.003982	0.003848
30100	0.004261	0.003962
30200	0.003930	0.003813
30300	0.004291	0.003842
30400	0.004152	0.003720
30500	0.004291	0.003848
30600	0.004118	0.003866
30700	0.004784	0.004106
30800	0.004229	0.004251
30900	0.004346	0.003834
31000	0.004093	0.004128
31100	0.004376	0.004190
31200	0.004097	0.004028
31300	0.004304	0.003933
31400	0.004223	0.003932
31500	0.004694	0.003992
31600	0.004355	0.004002
31700	0.004502	0.004063
31800	0.004346	0.004236
31900	0.004397	0.004928
32000	0.004330	0.004292
32100	0.004415	0.004130
32200	0.004328	0.004585
32300	0.004567	0.004173
32400	0.004622	0.004219
32500	0.004465	0.004333
32600	0.004927	0.004240
32700	0.004627	0.004202
32800	0.004980	0.004455
32900	0.004720	0.004699
33000	0.004511	0.004111
33100	0.004473	0.004726
33200	0.004336	0.004152
33300	0.004831	0.004478
33400	0.004369	0.004449
33500	0.004842	0.004137
33600	0.004414	0.004499
33700	0.004671	0.004212
33800	0.004812	0.004444
33900	0.004498	0.004419
34000	0.004786	0.004665
34100	0.004702	0.004464
34200	0.005053	0.004473
34300	0.005074	0.004498
34400	0.004867	0.004491
34500	0.004783	0.004566
34600	0.005095	0.004777
34700	0.004961	0.004693
34800	0.005162	0.004490
34900	0.005415	0.004807
35000	0.004733	0.005015
35100	0.006029	0.005085
35200	0.005542	0.004658
35300	0.004892	0.004657
35400	0.005364	0.004402
35500	0.004876	0.005277
35600	0.004950	0.004628
35700	0.005035	0.004869
35800	0.004965	0.004878
35900	0.004931	0.004752
36000	0.005120	0.005000
36100	0.004900	0.005112
36200	0.005090	0.004614
36300	0.004957	0.004936
36400	0.004940	0.004728
36500	0.005293	0.004772
36600	0.005690	0.005257
